step,price,total_supply,total_demand,avg_money
0,0.976175,60.7374,21.5349,119.807
1,0.949904,61.1214,18.3477,119.807
2,0.922906,61.1573,16.8276,119.807
3,0.894835,62.5093,15.2237,119.807
4,0.868118,61.9135,15.6171,119.807
5,0.842861,60.59,16.0148,119.807
6,0.818567,61.9128,16.633,119.807
7,0.79487,61.4198,16.377,119.807
8,0.770731,60.8616,14.8671,119.807
9,0.747859,62.1481,15.8521,119.807
10,0.726504,60.7673,16.5898,119.807
11,0.70603,61.92,17.281,119.807
12,0.686196,60.667,17.0187,119.807
13,0.666402,60.002,16.0979,119.807
14,0.646962,61.8317,16.2675,119.807
15,0.628523,61.0689,16.7249,119.807
16,0.61096,59.9195,16.955,119.807
17,0.593518,61.28,16.7356,119.807
18,0.575939,62.1913,15.9213,119.807
19,0.559694,61.5287,17.1459,119.807
20,0.543425,62.3091,16.4953,119.807
21,0.527463,61.0183,15.8577,119.807
22,0.51184,61.7713,15.8116,119.807
23,0.497352,61.733,17.1039,119.807
24,0.482752,61.5524,16.0132,119.807
25,0.468407,62.5635,15.9205,119.807
26,0.454327,62.8433,15.653,119.807
27,0.44111,61.9159,16.3673,119.807
28,0.428322,61.2414,16.2886,119.807
29,0.415544,62.0955,15.6858,119.807
30,0.403852,61.5597,17.226,119.807
31,0.3923,62.3948,16.9828,119.807
32,0.380543,60.8961,15.2528,119.807
33,0.369616,61.3777,16.5995,119.807
34,0.358959,62.1102,16.6772,119.807
35,0.348623,60.8028,16.3636,119.807
36,0.338623,61.2682,16.5973,119.807
37,0.328691,60.7969,15.8388,119.807
38,0.319613,61.0387,17.601,119.807
39,0.310285,62.9233,16.5396,119.807
40,0.30144,61.452,16.8263,119.807
41,0.292946,60.7734,16.9622,119.807
42,0.28483,61.5333,17.6557,119.807
43,0.276211,60.9614,14.9932,119.807
44,0.268171,61.7465,16.3062,119.807
45,0.260375,60.8939,16.1173,119.807
46,0.253224,59.5903,17.3362,119.807
47,0.246086,60.2583,16.8106,119.807
48,0.238878,61.0073,15.9342,119.807
49,0.23049,61.7603,17.4754,119.807
50,0.223261,62.6104,14.3398,119.807
51,0.217136,61.3409,17.8766,119.807
52,0.21077,60.7682,15.8436,119.807
53,0.204559,61.6699,15.9351,119.807
54,0.198867,62.8106,17.8948,119.807
55,0.192905,60.4029,15.1187,119.807
56,0.187152,61.6333,15.5811,119.807
57,0.181837,61.3601,16.9056,119.807
58,0.176715,60.9334,17.015,119.807
59,0.171471,61.1638,15.6033,119.807
60,0.166637,61.2729,17.0898,119.807
61,0.161864,61.529,16.7133,119.807
62,0.157133,61.0949,16.0137,119.807
63,0.15266,61.9938,17.0168,119.807
64,0.148152,61.0675,15.7158,119.807
65,0.143991,60.9642,17.1078,119.807
66,0.139842,60.8314,16.3556,119.807
67,0.135734,61.5591,15.9942,119.807
68,0.131815,60.7486,16.2734,119.807
69,0.127977,61.8052,16.3097,119.807
70,0.124337,61.9823,17.0399,119.807
71,0.120744,61.4851,16.4412,119.807
72,0.116993,62.3195,14.5549,119.807
73,0.113761,62.5411,18.0238,119.807
74,0.110288,63.8372,15.4416,119.807
75,0.106829,62.2255,14.2519,119.807
76,0.103843,61.3596,17.3574,119.807
77,0.100691,61.0383,14.9224,119.807
78,0.0979025,60.8783,17.4767,119.807
79,0.0950573,61.0114,16.1585,119.807
80,0.0923717,60.6268,16.8487,119.807
81,0.0894835,62.9438,14.5096,119.807
82,0.0869417,60.898,16.773,119.807
83,0.0844397,62.1865,16.7524,119.807
84,0.0818695,63.5471,15.4533,119.807
85,0.0794947,61.0918,16.2327,119.807
86,0.0771053,62.4471,15.5559,119.807
87,0.0749093,61.2712,16.8008,119.807
88,0.0727054,61.6103,15.9644,119.807
89,0.0706696,61.237,17.2709,119.807
90,0.0685849,60.4872,15.5986,119.807
91,0.066455,62.2249,14.5441,119.807
92,0.0645322,62.9605,16.803,119.807
93,0.0626628,60.5411,16.123,119.807
94,0.0608467,61.7439,16.4318,119.807
95,0.0590051,61.2697,15.0634,119.807
96,0.0572739,61.553,16.0278,119.807
97,0.0557086,61.0122,17.8857,119.807
98,0.0540602,61.2413,15.7057,119.807
99,0.0526183,60.5184,15.7425,119.807
100,0.0511626,60.0066,17.257,119.807
101,0.0497035,60.4068,16.5247,119.807
102,0.0482853,61.7321,16.8741,119.807
103,0.0469162,60.9597,16.8407,119.807
104,0.0455591,60.5221,16.1611,119.807
105,0.0442089,61.1312,15.631,119.807
106,0.042972,62.0378,17.519,119.807
107,0.0417117,61.2198,15.9539,119.807
108,0.0405118,61.8452,16.6706,119.807
109,0.0393418,62.2345,16.6635,119.807
110,0.0381717,62.0894,15.7743,119.807
111,0.0370597,62.5596,16.4966,119.807
112,0.0359205,61.1891,14.5972,119.807
113,0.0349008,61.7793,17.033,119.807
114,0.0338763,62.037,16.1397,119.807
115,0.0328702,61.364,15.6314,119.807
116,0.0319822,60.3942,18.0248,119.807
117,0.031042,60.756,15.7648,119.807
118,0.0301378,60.7378,16.0215,119.807
119,0.0292572,62.0414,16.2734,119.807
120,0.0284069,62.5155,16.5564,119.807
121,0.0276036,61.7659,17.1379,119.807
122,0.0267897,61.4684,15.8639,119.807
123,0.0260145,60.8029,16.2248,119.807
124,0.0252994,61.7085,17.9274,119.807
125,0.0245491,60.8246,15.5335,119.807
126,0.0238209,61.6386,15.7376,119.807
127,0.0231357,61.4258,16.5608,119.807
128,0.0224766,60.1207,16.4764,119.807
129,0.0218091,60.5703,15.4287,119.807
130,0.0212093,61.3909,17.8242,119.807
131,0.0205626,61.7517,14.9636,119.807
132,0.0199848,61.1574,17.1513,119.807
133,0.0193819,61.4717,15.2058,119.807
134,0.018857,61.4543,18.2726,119.807
135,0.018314,61.8599,16.6446,119.807
136,0.0177638,60.673,15.1296,119.807
137,0.0172459,62.0248,16.3355,119.807
138,0.0167416,60.2093,15.7719,119.807
139,0.0162514,61.2779,16.0139,119.807
140,0.015757,62.8018,15.2888,119.807
141,0.0153155,60.4839,17.0409,119.807
142,0.0148789,61.4116,16.8119,119.807
143,0.014419,61.734,14.5677,119.807
144,0.014004,62.2199,16.7575,119.807
145,0.0135766,61.4034,14.8521,119.807
146,0.0131894,61.588,16.8493,119.807
147,0.0128061,59.9064,15.8698,119.807
148,0.012437,63.0105,16.9252,119.807
149,0.0121833,63.1721,15.3072,119.807
150,0.0118354,60.3191,16.4668,119.807
151,0.0114936,61.9121,16.5786,119.807
152,0.0111496,61.5476,15.4509,119.807
153,0.010806,61.5021,14.601,119.807
154,0.0105164,60.4737,18.2694,119.807
155,0.010196,62.8688,15.2606,119.807
156,0.01,60.5516,16.808,119.807
157,0.01,61.708,17.2186,119.807
158,0.01,61.7981,16.3052,119.807
159,0.01,62.0812,17.6538,119.807
160,0.01,60.7313,16.5051,119.807
161,0.01,61.7341,15.1977,119.807
162,0.01,61.05,16.7887,119.807
163,0.01,62.1384,16.349,119.807
164,0.01,61.0132,14.6177,119.807
165,0.01,62.149,16.756,119.807
166,0.01,61.7636,16.0138,119.807
167,0.01,61.3454,14.5949,119.807
168,0.01,61.5474,16.3635,119.807
169,0.01,61.3841,16.0937,119.807
170,0.01,62.0022,16.0082,119.807
171,0.01,60.7839,16.6629,119.807
172,0.01,61.986,16.548,119.807
173,0.01,62.5927,15.1762,119.807
174,0.01,62.4395,17.1157,119.807
175,0.01,63.4514,13.2915,119.807
176,0.01,60.9033,16.7524,119.807
177,0.01,61.6459,15.7892,119.807
178,0.01,61.2916,16.2156,119.807
179,0.01,61.0045,16.1248,119.807
180,0.01,61.6629,18.2697,119.807
181,0.01,60.3223,15.8773,119.807
182,0.01,62.8988,15.1217,119.807
183,0.01,59.7336,16.7464,119.807
184,0.01,60.8596,16.3638,119.807
185,0.01,60.3982,15.9711,119.807
186,0.01,61.2062,17.4795,119.807
187,0.01,62.4268,16.2561,119.807
